2026-09-07 11:30:00 INFO     [static_analyzer.engine.language_adapter:284] Found 100 CSharp files in /Users/svilen/Documents/Projects/ReposForTesting/abp/templates/module/aspnet-core
2026-09-07 11:30:00 INFO     [static_analyzer:392] Starting engine LSP client for CSharp at /Users/svilen/Documents/Projects/ReposForTesting/abp/templates/module/aspnet-core
2026-09-07 11:30:09 INFO     [static_analyzer.engine.adapters.csharp_adapter:367] dotnet restore completed for MyCompanyName.MyProjectName.slnx
2026-09-07 11:30:10 INFO     [static_analyzer:414] CSharp LSP start: 10.6s
2026-09-07 11:30:10 INFO     [static_analyzer.engine.language_adapter:284] Found 5 CSharp files in /Users/svilen/Documents/Projects/ReposForTesting/abp/templates/wpf
2026-09-07 11:30:10 INFO     [static_analyzer:392] Starting engine LSP client for CSharp at /Users/svilen/Documents/Projects/ReposForTesting/abp/templates/wpf
2026-09-07 11:30:11 WARNING  [static_analyzer.engine.adapters.csharp_adapter:360] dotnet restore failed for MyCompanyName.MyProjectName.slnx (exit 1):   Determining projects to restore...
/Users/svilen/.codeboarding/dotnet/sdk/10.0.400/Sdks/Microsoft.NET.Sdk/targets/Microsoft.NET.Sdk.FrameworkReferenceResolution.targets(120,5): error NETSDK1100: To build a project targeting Windows on this operating system, set the EnableWindowsTargeting property to true. [/Users/svilen/Documents/Projects/ReposForTesting/abp/templates/wpf/src/MyCompanyName.MyProjectName/MyCompanyName.MyProjectName.csproj]

2026-09-07 11:30:12 INFO     [static_analyzer:414] CSharp LSP start: 1.7s
2026-09-07 11:30:12 INFO     [static_analyzer.engine.language_adapter:284] Found 11 CSharp files in /Users/svilen/Documents/Projects/ReposForTesting/abp/tools/localization-key-synchronizer
2026-09-07 11:30:12 INFO     [static_analyzer:392] Starting engine LSP client for CSharp at /Users/svilen/Documents/Projects/ReposForTesting/abp/tools/localization-key-synchronizer
2026-09-07 11:30:12 INFO     [static_analyzer.engine.adapters.csharp_adapter:367] dotnet restore completed for LocalizationKeySynchronizer.slnx
2026-09-07 11:30:13 INFO     [static_analyzer:414] CSharp LSP start: 1.4s
2026-09-07 11:30:15 INFO     [static_analyzer.engine.language_adapter:284] Found 8 Go files in /Users/svilen/Documents/Projects/ReposForTesting/abp
2026-09-07 11:30:15 INFO     [static_analyzer:392] Starting engine LSP client for Go at /Users/svilen/Documents/Projects/ReposForTesting/abp
2026-09-07 11:30:15 INFO     [static_analyzer:414] Go LSP start: 0.2s
2026-09-07 11:30:15 INFO     [static_analyzer.engine.lsp_client:526] Waiting for LSP server to be ready...
2026-09-07 11:30:15 INFO     [static_analyzer.engine.lsp_client:888] LSP server: workspace loaded (Setting up workspace Finished loading packages.)
